epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.463475,0.846231,0.300144,0.891333
2,0.304414,0.890053,0.289820,0.898333
3,0.293252,0.894257,0.282512,0.896000
4,0.289575,0.892475,0.270339,0.904000
5,0.281503,0.897677,0.262937,0.902667
6,0.280718,0.897250,0.271687,0.902333
7,0.268530,0.902594,0.257586,0.905000
8,0.265201,0.903805,0.260159,0.903667
9,0.259033,0.906798,0.219485,0.915000
10,0.174017,0.935585,0.216511,0.923333
11,0.131967,0.950192,0.202127,0.926000
12,0.106938,0.960382,0.216020,0.924667
13,0.084408,0.968220,0.217438,0.925667
14,0.070755,0.973137,0.223221,0.922333
15,0.056520,0.979478,0.247219,0.923667
16,0.044644,0.985891,0.241488,0.924000
17,0.038323,0.985963,0.244600,0.928000
18,0.033501,0.989597,0.256631,0.927000
19,0.028795,0.991093,0.262262,0.928333
20,0.026122,0.991877,0.289979,0.920667
