epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.569849,0.815448,0.349258,0.882000
2,0.341048,0.882998,0.326664,0.887333
3,0.311380,0.890837,0.310116,0.884000
4,0.298189,0.892404,0.292596,0.896000
5,0.288699,0.895397,0.285125,0.896667
6,0.275647,0.903235,0.283079,0.901333
7,0.274537,0.900171,0.302717,0.886000
8,0.272850,0.905444,0.284574,0.891333
9,0.257357,0.908508,0.221942,0.924000
10,0.107509,0.961308,0.222622,0.922667
11,0.064813,0.979193,0.235190,0.927333
12,0.040213,0.986889,0.235443,0.931000
13,0.032157,0.990167,0.257096,0.927333
14,0.023546,0.993444,0.256247,0.930667
15,0.013554,0.996580,0.276544,0.933000
16,0.015449,0.995867,0.303398,0.930667
17,0.010824,0.996794,0.302346,0.928667
18,0.012716,0.996508,0.310795,0.931667
19,0.014312,0.995226,0.338050,0.924000
20,0.012927,0.995511,0.341198,0.927667
